product_name,review_text,rating,source
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,who remembered ang mutya ng section e kiko after hearing kiko milano assemble here😂,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,song name,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,wow❤,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,neciyedi?,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,22❤,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,17❤,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,it smells like watermelon?,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,girly ik this lip gloss it's the best! i have it and im so grateful  for this lip gloss❤✌🏻✨️,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,i have that one.,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,is it scented,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,i love that colour😊,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,beauty fulll,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,i have this but my is from italy,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",genetics,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",she sad smooth liker butter remind med of bts song butter,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",to me her mother looks like asa from babymonster,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",shes also rich….are u really that out of touch?,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",she looks late 30's omgggggggggggggggg,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin","and thousands of dollars worth of facials, laser and microneedling 😂",3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",you forget the fact shes asian and has had a face lift...,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",what?!shes 50years old?! i thought she was like 30......hehe,3,YouTube
